"Path","ServiceImport","DirectPrisma"
"D:\code\React\ERP\erp-nodejs\app\api\users\me\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\[id]\anonymise\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\[id]\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\[id]\permissions\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\[id]\roles\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\[id]\suspend\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\workflow\definitions\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\workflow\delegate\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\workflow\delegate\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\workflow\instances\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\workflow\instances\[id]\route.ts","N","Y"
